Referring_Domain,Semrush_AS,nationalfosteringgroup.co.uk,thefca.co.uk,thefosteringnetwork.org.uk,capstonefostercare.co.uk,ispfostering.org.uk,fosterplus.co.uk,fosteringpeople.co.uk,swiisfostercare.com,compassfostering.com,orangegrovefostercare.co.uk
ulster.ac.uk,52,0,0,2,0,0,0,0,0,0,0
universite-paris-saclay.fr,52,0,1,0,0,0,0,0,0,0,0
woman.dk,52,0,0,0,1,0,0,0,0,0,0
barnardos.org.uk,51,0,0,19,0,0,0,0,0,0,0
closeronline.co.uk,51,0,0,1,0,0,0,0,0,0,0
expressandstar.com,51,0,0,2,0,4,0,0,0,0,0
kent.gov.uk,51,0,0,4,0,1,0,0,0,0,0
liverpool.gov.uk,51,0,0,4,0,0,0,0,0,0,0
mostlyblogging.com,51,0,1,0,0,0,0,0,0,0,0
ok.co.uk,51,0,0,1,0,0,0,0,0,0,0
pocketcasts.com,51,1,0,0,0,0,0,0,0,0,0
shorthand.com,51,0,0,2,0,0,0,0,0,0,0
smartsurvey.co.uk,51,0,0,1,0,0,0,0,0,0,0
somerset.gov.uk,51,0,0,1,0,0,0,0,0,0,0
theorg.com,51,0,0,0,0,0,0,0,1,0,0
endole.co.uk,50,0,0,1,3,0,1,1,0,1,0
brighton-hove.gov.uk,50,0,0,24,0,0,0,0,0,0,0
buckinghamshire.gov.uk,50,1,0,3,0,0,0,0,0,0,0
camden.gov.uk,50,0,0,7,0,0,0,0,0,0,0
hillingdon.gov.uk,50,0,0,1,0,0,0,0,0,0,0
humanium.org,50,4,0,0,0,0,0,0,0,0,0
irishnews.com,50,0,0,1,0,0,0,0,0,0,0
kinkly.com,50,0,0,0,1,0,0,0,0,0,0
lambeth.gov.uk,50,0,0,1,0,0,0,0,0,0,0
lancaster.ac.uk,50,0,0,2,0,0,0,0,0,0,0
leadiq.com,50,2,8,0,7,0,0,0,0,7,0
momjunction.com,50,0,0,0,2,0,0,0,0,0,0
netmums.com,50,0,0,2,0,0,0,0,0,0,0
podtail.com,50,0,0,2,0,0,0,0,0,0,0
royalgreenwich.gov.uk,50,0,0,1,0,0,0,0,0,0,0
salford.gov.uk,50,0,0,1,0,0,0,0,0,0,0
sheffield.gov.uk,50,0,0,3,0,0,0,0,0,0,0
southampton.gov.uk,50,0,0,6,0,0,0,0,0,0,0
sunderlandecho.com,50,0,5,0,0,0,0,0,0,0,0
surreycc.gov.uk,50,0,0,9,0,0,0,0,0,0,0
tickettailor.com,50,0,0,101,0,0,0,0,0,0,0
ukri.org,50,0,0,1,0,0,0,0,0,0,0
york.gov.uk,50,0,0,2,0,0,0,0,0,0,0
sussexexpress.co.uk,49,0,0,2,0,0,0,0,0,0,4
bathnes.gov.uk,49,0,0,5,0,0,0,0,0,0,0
bbcchildreninneed.co.uk,49,0,1,0,0,0,0,0,0,0,0
booktrust.org.uk,49,0,0,1,0,0,0,0,0,0,0
christianitytoday.com,49,0,0,1,0,0,0,0,0,0,0
coventry.gov.uk,49,0,0,29,0,0,0,0,0,0,0
derbytelegraph.co.uk,49,0,3,0,0,3,1,1,0,0,0
eastsussex.gov.uk,49,0,0,13,0,0,0,0,0,0,0
getsurrey.co.uk,49,0,0,2,0,0,0,0,0,0,0
gigroup.com,49,0,0,1,0,0,0,0,0,0,0
highland.gov.uk,49,0,0,159,0,0,0,0,0,0,0
leicester.gov.uk,49,0,0,3,0,0,0,0,0,0,0
leicestershire.gov.uk,49,0,0,9,0,0,0,0,0,0,0
local.gov.uk,49,0,0,42,0,0,0,0,0,0,0
